Transect,Point,Dist_to_Shore,Species,Wet_Weight,Dry_Weight,Dates,Note
ONElee01,A,10,Turbinaria ornata,N/A,N/A,9/21/2023,No Turbinaria ornata
ONElee01,B,20,Turbinaria ornata,11.7879,1.9688,9/21/2023,
ONElee01,C,30,Turbinaria ornata,18.0574,2.7233,9/21/2023,
ONElee01,D,40,Turbinaria ornata,18.2413,3.1824,9/21/2023,
ONElee02,A,10,Turbinaria ornata,N/A,N/A,9/21/2023,No Turbinaria ornata
ONElee02,B,20,Turbinaria ornata,15.0988,3.0013,9/21/2023,
ONElee02,C,30,Turbinaria ornata,13.2342,2.4671,9/21/2023,
ONElee02,D,40,Turbinaria ornata,19.405,3.403,9/21/2023,
ONElee03,A,10,Turbinaria ornata,N/A,N/A,9/21/2023,No Turbinaria ornata
ONElee03,B,20,Turbinaria ornata,14.0839,2.6187,9/21/2023,
ONElee03,C,30,Turbinaria ornata,15.8493,2.6675,9/21/2023,
ONElee03,D,40,Turbinaria ornata,27.1949,4.8367,9/21/2023,
ONEleehal01,N/A,N/A,Halimeda sp,26.892,6.0723,9/21/2023,Halimeda collection off transect
ONElee04,A,10,Turbinaria ornata,8.8597,1.5783,9/22/2023,
ONElee04,B,20,Turbinaria ornata,7.6823,1.3897,9/22/2023,
ONElee04,C,30,Turbinaria ornata,11.49,2.2156,9/22/2023,
ONElee04,D,40,Turbinaria ornata,11.4747,1.9659,9/22/2023,
ONElee04,D,40,Hydroclathrus clathratus,2.0844,0.2203,9/22/2023,Sample from large mat of co-occurring wispy Hydroclathrus clathratus
ONElee05,A,10,Turbinaria ornata,16.2419,2.6568,9/22/2023,
ONElee05,B,20,Turbinaria ornata,8.9902,1.7185,9/22/2023,
ONElee05,C,30,Turbinaria ornata,8.7672,1.7743,9/22/2023,
ONElee05,D,40,Turbinaria ornata,21.1995,3.9799,9/22/2023,
ONElee06,A,10,Turbinaria ornata,11.6505,1.8422,9/22/2023,
ONElee06,A,10,Hydroclathrus clathratus,15.2545,1.5265,9/22/2023,Sample from large mat of co-occurring wispy Hydroclathrus clathratus
ONElee06,B,20,Turbinaria ornata,8.1995,1.406,9/22/2023,
ONElee06,B,20,Hydroclathrus clathratus,11.2873,1.0934,9/22/2023,Sample from large mat of co-occurring wispy Hydroclathrus clathratus
ONElee06,C,30,Turbinaria ornata,10.5027,2.0361,9/22/2023,
ONElee06,D,40,Turbinaria ornata,6.658,1.129,9/22/2023,
ONElee07,A,10,Turbinaria ornata,14.6238,2.5713,9/23/2023,
ONElee07,B,20,Turbinaria ornata,N/A,N/A,9/23/2023,No Turbinaria ornata
ONElee07,C,30,Turbinaria ornata,N/A,N/A,9/23/2023,No Turbinaria ornata
ONElee07,D,40,Turbinaria ornata,N//A,N/A,9/23/2023,No Turbinaria ornata
ONElee08,A,10,Turbinaria ornata,10.0756,1.5861,9/23/2023,
ONElee08,B,20,Turbinaria ornata,9.6781,1.9543,9/23/2023,
ONElee08,C,30,Turbinaria ornata,7.1857,1.3998,9/23/2023,
ONElee08,D,40,Turbinaria ornata,N/A,N/A,9/23/2023,No Turbinaria ornata
ONElee09,A,10,Turbinaria ornata,8.5344,1.2177,9/23/2023,
ONElee09,B,20,Turbinaria ornata,11.8696,1.977,9/23/2023,
ONElee09,C,30,Turbinaria ornata,15.2905,2.6352,9/23/2023,
ONElee09,D,40,Turbinaria ornata,9.6724,1.4917,9/23/2023,
