type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,ONElee07BfishE,-17.01382,-149.59031,-17.01382,-149.59031,2023-10-13T09:58,,Flag, Blue,,,,,,,2023/10/13 09:58:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,13/10/2023 10:58,,,,,,,,,,
WAYPOINT,TAUAURlee01BfishE,-16.98743,-149.56385,-16.98743,-149.56385,2023-09-28T22:58,,Flag, Blue,,,,5.45665,,,2023/09/28 22:58:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 23:58,,,,,,,,,,
WAYPOINT,TAUAURlee01BfishS,-16.987737,-149.563874,-16.987737,-149.563874,2023-09-28T22:32,,Flag, Blue,,,,6.539489,,,2023/09/28 22:32:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 23:32,,,,,,,,,,
WAYPOINT,TAUAURlee02DfishE,-16.987094,-149.564203,-16.987094,-149.564203,2023-09-28T22:24,,Flag, Blue,,,,4.926028,,,2023/09/28 22:24:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 23:24,,,,,,,,,,
WAYPOINT,TAUAURlee02DfishS,-16.987382,-149.564097,-16.987382,-149.564097,2023-09-28T21:57,,Flag, Blue,,,,6.454444,,,2023/09/28 21:57:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 22:57,,,,,,,,,,
WAYPOINT,TAUAURlee03EfishE,-16.986819,-149.56428,-16.986819,-149.56428,2023-09-28T21:47,,Flag, Blue,,,,5.289855,,,2023/09/28 21:47:35+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 22:47,,,,,,,,,,
WAYPOINT,TAUAURlee03EfishS,-16.987113,-149.564255,-16.987113,-149.564255,2023-09-28T21:24,,Flag, Blue,,,,7.662911,,,2023/09/28 21:24:03+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 22:24,,,,,,,,,,
WAYPOINT,HIRAURlee01BfishE,-16.987724,-149.560781,-16.987724,-149.560781,2023-09-28T20:30,,Flag, Blue,,,,10.291453,,,2023/09/28 20:30:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 21:30,,,,,,,,,,
WAYPOINT,HIRAURlee01BfishS,-16.987945,-149.560602,-16.987945,-149.560602,2023-09-28T20:05,,Flag, Blue,,,,9.756858,,,2023/09/28 20:05:23+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 21:05,,,,,,,,,,
WAYPOINT,HIRAURlee02DfishE,-16.987212,-149.560622,-16.987212,-149.560622,2023-09-28T19:58,,Flag, Blue,,,,10.381705,,,2023/09/28 19:58:07+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 20:58,,,,,,,,,,
WAYPOINT,HIRAURlee02DfishS,-16.987467,-149.560533,-16.987467,-149.560533,2023-09-28T19:37,,Flag, Blue,,,,12.186356,,,2023/09/28 19:37:01+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 20:37,,,,,,,,,,
WAYPOINT,HIRAURlee03EfishE,-16.986881,-149.560527,-16.986881,-149.560527,2023-09-28T19:27,,Flag, Blue,,,,10.826443,,,2023/09/28 19:27:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 20:27,,,,,,,,,,
WAYPOINT,HIRAURlee03EfishS,-16.987157,-149.560515,-16.987157,-149.560515,2023-09-28T19:08,,Flag, Blue,,,,12.61385,,,2023/09/28 19:08:15+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 20:08,,,,,,,,,,
WAYPOINT,REIlee02DfishE,-17.046486,-149.548122,-17.046486,-149.548122,2023-09-28T02:38,,Flag, Blue,,,,3.770288,,,2023/09/28 02:38:19+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:38,,,,,,,,,,
WAYPOINT,REIlee02DfishS,-17.046255,-149.548015,-17.046255,-149.548015,2023-09-28T02:32,,Flag, Blue,,,,6.743219,,,2023/09/28 02:32:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:32,,,,,,,,,,
WAYPOINT,REIlee01EfishE,-17.047072,-149.548119,-17.047072,-149.548119,2023-09-28T02:06,,Flag, Blue,,,,12.035054,,,2023/09/28 02:06:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:06,,,,,,,,,,
WAYPOINT,REIlee01EfishS,-17.04679,-149.548074,-17.04679,-149.548074,2023-09-28T02:01,,Flag, Blue,,,,7.819409,,,2023/09/28 02:01:32+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 03:01,,,,,,,,,,
WAYPOINT,AIElee03BfishE,-17.009022,-149.535693,-17.009022,-149.535693,2023-09-28T00:12,,Flag, Blue,,,,-0.649811,,,2023/09/28 00:12:33+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 01:12,,,,,,,,,,
WAYPOINT,AIElee03BfishS,-17.00893,-149.535935,-17.00893,-149.535935,2023-09-27T23:56,,Flag, Blue,,,,10.527406,,,2023/09/27 23:56:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:56,,,,,,,,,,
WAYPOINT,AIElee02DfishE,-17.009279,-149.5354,-17.009279,-149.5354,2023-09-27T23:38,,Flag, Blue,,,,5.099576,,,2023/09/27 23:38:37+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:38,,,,,,,,,,
WAYPOINT,AIElee02DfishS,-17.0093,-149.535673,-17.0093,-149.535673,2023-09-27T23:28,,Flag, Blue,,,,8.92742,,,2023/09/27 23:28:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:28,,,,,,,,,,
WAYPOINT,AIElee01EfishE,-17.0096,-149.535366,-17.0096,-149.535366,2023-09-27T23:02,,Flag, Blue,,,,14.378789,,,2023/09/27 23:02:59+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,28/09/2023 00:02,,,,,,,,,,
