Date,Time_st,Transect,Bearing,Secchi,Depth_st,Taxon_name,Family,Common_family,Consumer_group,Lw_a,Lw_b,Length_conversion_factor,Number,Size_TL_cm,Length_conv,Biomass_g,num_m^2,g_m^2
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,5,5,4.3,9.6,0.03,0.06
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,7,7,11.27,0.01,0.07
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,10,10,14.96,6.67E-03,0.09
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,8,8,15.15,6.67E-03,0.1
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,5,5,3.7,6.67E-03,0.02
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,4,4,1.89,6.67E-03,0.01
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,8,8,8.12,6.67E-03,0.05
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,3,4,3.44,2.96,0.02,0.01
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,1,8,6.88,7.76,6.67E-03,0.05
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,6,6,4.68,6.67E-03,0.03
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,8,8,22.22,0.01,0.14
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,3,4,4,4.16,0.02,0.02
9/27/2023, 11:04:00,AIEwind01B,50,14.9,,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,3,5,5,8.13,0.02,0.05
