type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,ONEwind08D,-17.01366,-149.59049,-17.01366,-149.59049,2023-10-13T10:00,,Flag, Blue,,,,,,,2023/10/13 10:00:18+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/10/13 11:00:18,,,,,,,,,,,
WAYPOINT,ONEwind07BfishE,-17.01382,-149.59031,-17.01382,-149.59031,2023-10-13T09:58,,Flag, Blue,,,,,,,2023/10/13 09:58:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/10/13 10:58:28,,,,,,,,,,,
WAYPOINT,TAUAURlee01BfishE,-16.98743,-149.56385,-16.98743,-149.56385,2023-09-28T22:58,,Flag, Blue,,,,5.45665,,,2023/09/28 22:58:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 23:58:04,,,,,,,,,,,
WAYPOINT,TAUAURlee01BfishS,-16.987737,-149.563874,-16.987737,-149.563874,2023-09-28T22:32,,Flag, Blue,,,,6.539489,,,2023/09/28 22:32:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 23:32:12,,,,,,,,,,,
WAYPOINT,TAUAURlee02DfishE,-16.987094,-149.564203,-16.987094,-149.564203,2023-09-28T22:24,,Flag, Blue,,,,4.926028,,,2023/09/28 22:24:06+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 23:24:06,,,,,,,,,,,
WAYPOINT,TAUAURlee02DfishS,-16.987382,-149.564097,-16.987382,-149.564097,2023-09-28T21:57,,Flag, Blue,,,,6.454444,,,2023/09/28 21:57:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 22:57:28,,,,,,,,,,,
WAYPOINT,TAUAURlee03EfishE,-16.986819,-149.56428,-16.986819,-149.56428,2023-09-28T21:47,,Flag, Blue,,,,5.289855,,,2023/09/28 21:47:35+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 22:47:35,,,,,,,,,,,
WAYPOINT,TAUAURlee03EfishS,-16.987113,-149.564255,-16.987113,-149.564255,2023-09-28T21:24,,Flag, Blue,,,,7.662911,,,2023/09/28 21:24:03+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 22:24:03,,,,,,,,,,,
WAYPOINT,HIRAURlee01BfishE,-16.987724,-149.560781,-16.987724,-149.560781,2023-09-28T20:30,,Flag, Blue,,,,10.291453,,,2023/09/28 20:30:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 21:30:53,,,,,,,,,,,
WAYPOINT,HIRAURlee01BfishS,-16.987945,-149.560602,-16.987945,-149.560602,2023-09-28T20:05,,Flag, Blue,,,,9.756858,,,2023/09/28 20:05:23+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 21:05:23,,,,,,,,,,,
WAYPOINT,HIRAURlee02DfishE,-16.987212,-149.560622,-16.987212,-149.560622,2023-09-28T19:58,,Flag, Blue,,,,10.381705,,,2023/09/28 19:58:07+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 20:58:07,,,,,,,,,,,
WAYPOINT,HIRAURlee02DfishS,-16.987467,-149.560533,-16.987467,-149.560533,2023-09-28T19:37,,Flag, Blue,,,,12.186356,,,2023/09/28 19:37:01+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 20:37:01,,,,,,,,,,,
WAYPOINT,HIRAURlee03EfishE,-16.986881,-149.560527,-16.986881,-149.560527,2023-09-28T19:27,,Flag, Blue,,,,10.826443,,,2023/09/28 19:27:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 20:27:41,,,,,,,,,,,
WAYPOINT,HIRAURlee03EfishS,-16.987157,-149.560515,-16.987157,-149.560515,2023-09-28T19:08,,Flag, Blue,,,,12.61385,,,2023/09/28 19:08:15+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 20:08:15,,,,,,,,,,,
WAYPOINT,HIRAURlee03E,-16.987147,-149.560513,-16.987147,-149.560513,2023-09-28T19:06,,Flag, Blue,,,,12.49163,,,2023/09/28 19:06:13+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 20:06:13,,,,,,,,,,,
WAYPOINT,TAUAURlee03E,-16.98707,-149.56424,-16.98707,-149.56424,2023-09-28T08:41,,Flag, Blue,,,,7.276131,,,2023/09/28 08:41:19+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 09:41:19,,,,,,,,,,,
WAYPOINT,TAUAURlee02D,-16.98741,-149.56413,-16.98741,-149.56413,2023-09-28T08:40,,Flag, Blue,,,,7.276131,,,2023/09/28 08:40:15+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 09:40:15,,,,,,,,,,,
WAYPOINT,TAUAURlee01B,-16.98772,-149.56398,-16.98772,-149.56398,2023-09-28T08:38,,Flag, Blue,,,,7.276131,,,2023/09/28 08:38:49+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 09:38:49,,,,,,,,,,,
WAYPOINT,HIRAURlee02D,-16.98749,-149.56051,-16.98749,-149.56051,2023-09-28T08:34,,Flag, Blue,,,,7.276131,,,2023/09/28 08:34:19+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 09:34:19,,,,,,,,,,,
WAYPOINT,HIRAURlee01B,-16.98786,-149.56055,-16.98786,-149.56055,2023-09-28T08:33,,Flag, Blue,,,,7.276131,,,2023/09/28 08:33:03+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 09:33:03,,,,,,,,,,,
